index,u_grid,u_geom,t_progress,t_eval_used_for_tracks,x,y,width_eval,height_eval,theta_eval,theta_internal,offset_eval,alpha_eval
43,0.094225,0.488941,0.803448,0.803448,0.000000,415.385686,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
44,0.857805,0.494954,0.813329,0.813329,0.000000,420.611389,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
45,0.152453,0.771988,0.827748,0.827748,-50.113963,434.313229,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
46,0.211278,0.542516,0.838655,0.838655,-6.870455,430.525090,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
47,0.211359,0.555705,0.843849,0.843849,-9.176098,431.900892,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
48,0.720413,0.572563,0.850437,0.850437,-12.219624,433.433516,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
49,0.270524,0.610746,0.865225,0.865225,-19.422019,435.996509,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
50,0.328494,0.640740,0.876749,0.876749,-25.269240,437.160839,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
51,0.330200,0.653811,0.881755,0.881755,-27.840194,437.443666,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
52,0.583021,0.674947,0.889783,0.889783,-31.997146,437.621854,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
53,0.390479,0.707021,0.901850,0.901850,-38.232148,437.255939,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
54,0.445629,0.733637,0.911699,0.911699,-43.259262,436.394826,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
55,0.451668,0.736551,0.912768,0.912768,-43.798238,436.270883,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
56,0.514187,0.766760,0.923684,0.923684,-49.213155,434.653371,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
57,0.578537,0.797874,0.934601,0.934601,-54.384486,432.377260,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
58,0.645236,0.830105,0.945516,0.945516,-59.184840,429.404789,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
59,0.714639,0.863559,0.956423,0.956423,-63.432219,425.700429,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
60,0.786591,0.898085,0.967310,0.967310,-66.879712,421.263411,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
61,0.859913,0.933101,0.978184,0.978184,-69.244778,416.176343,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
62,0.932107,0.967539,0.989076,0.989076,-70.300273,410.646397,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
63,1.000000,1.000000,1.000000,1.000000,-70.000000,405.000000,40.000000,6.000000,0.000000,0.000000,0.000000,0.000000
