index,u_param,t_progress,x,y,width_eval,height_eval,theta_eval,theta_internal,offset_eval
58,0.226562,0.228122,0.000000,62.307706,40.000000,10.000000,0.716666,0.716666,0.000000
59,0.230469,0.232055,0.000000,63.381977,40.000000,10.000000,0.729022,0.729022,0.000000
60,0.234375,0.235988,0.000000,64.456248,40.000000,10.000000,0.741378,0.741378,0.000000
61,0.238281,0.239921,0.000000,65.530518,40.000000,10.000000,0.753735,0.753735,0.000000
62,0.242188,0.243854,0.000000,66.604789,40.000000,10.000000,0.766091,0.766091,0.000000
63,0.246094,0.247787,0.000000,67.679060,40.000000,10.000000,0.778447,0.778447,0.000000
64,0.250000,0.251721,0.000000,68.753331,40.000000,10.000000,0.790804,0.790804,0.000000
65,0.253906,0.255654,0.000000,69.827602,40.000000,10.000000,0.803160,0.803160,0.000000
66,0.257812,0.259587,0.000000,70.901872,40.000000,10.000000,0.815516,0.815516,0.000000
67,0.261719,0.263520,0.000000,71.976143,40.000000,10.000000,0.827873,0.827873,0.000000
68,0.265625,0.267453,0.000000,73.050414,40.000000,10.000000,0.840229,0.840229,0.000000
69,0.269531,0.271386,0.000000,74.124685,40.000000,10.000000,0.852585,0.852585,0.000000
70,0.273438,0.275319,0.000000,75.198956,40.000000,10.000000,0.864942,0.864942,0.000000
71,0.277344,0.279253,0.000000,76.273226,40.000000,10.000000,0.877298,0.877298,0.000000
72,0.281250,0.283186,0.000000,77.347497,40.000000,10.000000,0.889654,0.889654,0.000000
73,0.285156,0.287119,0.000000,78.421768,40.000000,10.000000,0.902010,0.902010,0.000000
74,0.289062,0.291052,0.000000,79.496039,40.000000,10.000000,0.914367,0.914367,0.000000
75,0.292969,0.294985,0.000000,80.570310,40.000000,10.000000,0.926723,0.926723,0.000000
76,0.296875,0.298918,0.000000,81.644580,40.000000,10.000000,0.939079,0.939079,0.000000
77,0.300781,0.302851,0.000000,82.718851,40.000000,10.000000,0.951436,0.951436,0.000000
78,0.304688,0.306785,0.000000,83.793122,40.000000,10.000000,0.963792,0.963792,0.000000
79,0.308594,0.310718,0.000000,84.867393,40.000000,10.000000,0.976148,0.976148,0.000000
80,0.312500,0.314651,0.000000,85.941663,40.000000,10.000000,0.988505,0.988505,0.000000
81,0.316406,0.318584,0.000000,87.015934,40.000000,10.000000,1.000861,1.000861,0.000000
82,0.320312,0.322517,0.000000,88.090205,40.000000,10.000000,1.013217,1.013217,0.000000
83,0.324219,0.326450,0.000000,89.164476,40.000000,10.000000,1.025574,1.025574,0.000000
84,0.328125,0.330383,0.000000,90.238747,40.000000,10.000000,1.037930,1.037930,0.000000
85,0.332031,0.334316,0.000000,91.313017,40.000000,10.000000,1.050286,1.050286,0.000000
86,0.335938,0.338250,0.000000,92.387288,40.000000,10.000000,1.062642,1.062642,0.000000
87,0.339844,0.342183,0.000000,93.461559,40.000000,10.000000,1.074999,1.074999,0.000000
88,0.343750,0.346116,0.000000,94.535830,40.000000,10.000000,1.087355,1.087355,0.000000
89,0.347656,0.350049,0.000000,95.610101,40.000000,10.000000,1.099711,1.099711,0.000000
90,0.351562,0.353982,0.000000,96.684371,40.000000,10.000000,1.112068,1.112068,0.000000
91,0.355469,0.357915,0.000000,97.758642,40.000000,10.000000,1.124424,1.124424,0.000000
92,0.359375,0.361848,0.000000,98.832913,40.000000,10.000000,1.136780,1.136780,0.000000
93,0.363281,0.365782,0.000000,99.907184,40.000000,10.000000,1.149137,1.149137,0.000000
94,0.367188,0.369715,0.000000,100.981455,40.000000,10.000000,1.161493,1.161493,0.000000
95,0.371094,0.373648,0.000000,102.055725,40.000000,10.000000,1.173849,1.173849,0.000000
96,0.375000,0.377581,0.000000,103.129996,40.000000,10.000000,1.186206,1.186206,0.000000
97,0.378906,0.381514,0.000000,104.204267,40.000000,10.000000,1.198562,1.198562,0.000000
98,0.382812,0.385447,0.000000,105.278538,40.000000,10.000000,1.210918,1.210918,0.000000
99,0.386719,0.389380,0.000000,106.352809,40.000000,10.000000,1.223274,1.223274,0.000000
100,0.390625,0.393313,0.000000,107.427079,40.000000,10.000000,1.235631,1.235631,0.000000
101,0.394531,0.397247,0.000000,108.501350,40.000000,10.000000,1.247987,1.247987,0.000000
102,0.398438,0.401180,0.000000,109.575621,40.000000,10.000000,1.260343,1.260343,0.000000
103,0.402344,0.405113,0.000000,110.649892,40.000000,10.000000,1.272700,1.272700,0.000000
104,0.406250,0.409046,0.000000,111.724163,40.000000,10.000000,1.285056,1.285056,0.000000
105,0.410156,0.412979,0.000000,112.798433,40.000000,10.000000,1.297412,1.297412,0.000000
106,0.414062,0.416912,0.000000,113.872704,40.000000,10.000000,1.309769,1.309769,0.000000
107,0.417969,0.420845,0.000000,114.946975,40.000000,10.000000,1.322125,1.322125,0.000000
108,0.421875,0.424779,0.000000,116.021246,40.000000,10.000000,1.334481,1.334481,0.000000
109,0.425781,0.428712,0.000000,117.095517,40.000000,10.000000,1.346838,1.346838,0.000000
